ID;Country;Continent;Price;Highest.point;Lowest.point;Beginner.slopes;Intermediate.slopes;Difficult.slopes;Total.slopes;Longest.run;Snow.cannons;Surface.lifts;Chair.lifts;Gondola.lifts;Total.lifts;Lift.capacity;Child.friendly;Snowparks;Nightskiing;Summer.skiing
107;Austria;Europe;46;2025;830;25;53;13;91;7;294;32;7;8;47;52789;Yes;Yes;Yes;No
108;Austria;Europe;52;2872;1377;47;142;49;238;11;1200;13;25;7;45;88215;Yes;Yes;No;No
109;Austria;Europe;52;2300;860;30;52;2;84;10;800;10;9;7;26;32699;Yes;Yes;No;No
110;Austria;Europe;47;2300;1423;20;5;2;27;6;83;5;3;1;9;10650;Yes;Yes;No;No
111;Austria;Europe;53;2811;1270;130;123;51;304;6;747;53;45;15;113;145127;Yes;Yes;No;No
112;Austria;Europe;55;2000;800;101;61;17;179;8;1102;15;28;11;54;92510;Yes;Yes;Yes;No
113;Austria;Europe;40;2300;1600;6;25;12;43;4;133;9;2;2;13;15442;Yes;Yes;Yes;No
114;Austria;Europe;53;2096;830;140;112;18;270;0;927;21;22;28;71;135104;Yes;Yes;Yes;No
115;Austria;Europe;52;2015;745;46;68;8;122;4;600;16;20;10;46;71842;Yes;Yes;Yes;No
116;Austria;Europe;49;1957;620;122;129;33;284;7;1700;54;35;16;105;147250;Yes;Yes;Yes;No
117;Austria;Europe;52;2188;1000;23;16;4;43;6;113;9;6;4;19;25988;Yes;Yes;No;No
118;Austria;Europe;49;1957;620;122;129;33;284;0;1700;54;35;16;105;147250;Yes;Yes;Yes;No
119;Austria;Europe;53;2430;700;60;45;8;113;12;330;25;18;10;53;67472;Yes;Yes;No;No
120;Austria;Europe;53;2811;1270;130;123;51;304;0;747;53;45;15;113;145127;Yes;Yes;No;No
121;Austria;Europe;49;1957;620;122;129;33;284;0;1700;54;35;16;105;147250;Yes;Yes;Yes;No
122;Austria;Europe;44;1604;659;16;23;3;42;8;260;12;4;4;20;21100;Yes;No;Yes;No
123;Austria;Europe;53;2811;1270;130;123;51;304;0;747;53;45;15;113;145127;Yes;Yes;No;No
124;Italy;Europe;46;2755;1205;16;21;4;41;0;280;4;8;6;18;24497;Yes;Yes;No;No
125;Spain;Europe;47;3282;2100;50;49;7;106;0;350;5;14;2;21;59205;Yes;Yes;Yes;No
126;Italy;Europe;52;2924;1224;45;55;20;120;11;130;8;26;6;40;48089;Yes;Yes;No;No
127;Italy;Europe;44;3212;2011;8;7;11;26;8;0;6;6;2;14;15838;Yes;Yes;No;No
128;Switzerland;Europe;63;3573;1800;20;60;20;100;14;102;14;2;9;25;25160;Yes;Yes;No;Yes
129;Italy;Europe;43;3275;1212;23;94;15;132;0;655;9;9;12;30;31984;Yes;Yes;No;No
130;Italy;Europe;54;2275;973;52;42;25;119;7;450;6;5;21;32;71205;Yes;Yes;Yes;No
131;Spain;Europe;44;2251;1501;47;70;20;137;6;440;9;11;0;20;29450;Yes;Yes;No;No
132;Spain;Europe;50;2510;1471;79;52;19;150;5;629;14;19;2;35;53997;Yes;Yes;No;No
133;Italy;Europe;48;2749;1372;96;220;84;400;0;0;29;35;7;71;96433;Yes;No;Yes;No
134;Switzerland;Europe;81;3899;1562;75;220;27;322;0;1060;21;22;20;63;93464;Yes;Yes;No;Yes
135;Switzerland;Europe;54;1900;1275;3;3;2;8;0;0;0;1;0;1;900;Yes;No;No;No
136;Switzerland;Europe;54;1941;1046;3;3;1;7;0;0;3;0;2;5;3601;Yes;No;Yes;No
137;Switzerland;Europe;60;1510;540;55;70;15;140;12;0;12;6;5;23;29500;Yes;Yes;No;No
138;Switzerland;Europe;38;2040;1050;2;3;2;7;0;0;3;1;1;5;2577;Yes;No;No;No
139;Switzerland;Europe;63;2865;1229;111;87;27;225;4;0;24;18;8;50;63936;Yes;Yes;Yes;No
140;Switzerland;Europe;66;3330;821;107;202;103;412;8;0;39;17;19;75;85022;Yes;Yes;Yes;No
141;Switzerland;Europe;69;3057;1720;42;79;34;155;6;170;11;12;5;28;31220;Yes;Yes;No;No
142;France;Europe;19;1751;1245;8;7;5;20;0;51;10;1;0;11;6808;Yes;Yes;No;No
143;Switzerland;Europe;66;3330;821;107;202;103;412;8;0;39;17;19;75;85022;Yes;Yes;Yes;No
144;Switzerland;Europe;54;2120;1224;51;45;4;100;0;0;20;9;4;33;38905;Yes;Yes;No;No
145;Switzerland;Europe;66;3330;821;107;202;103;412;8;0;39;17;19;75;85022;Yes;Yes;Yes;No
146;Switzerland;Europe;66;3330;821;107;202;103;412;8;0;39;17;19;75;85022;Yes;Yes;Yes;No
147;Germany;Europe;25;1140;810;2;4;0;6;0;0;2;1;0;3;2800;Yes;No;No;No
148;Austria;Europe;52;1980;740;30;81;4;115;0;600;22;16;11;49;75398;Yes;Yes;No;No
149;France;Europe;61;3230;1110;312;216;72;600;0;2383;62;63;40;165;250860;Yes;Yes;Yes;No
150;France;Europe;61;3230;1110;312;216;72;600;0;2383;62;63;40;165;250860;Yes;Yes;Yes;No
151;France;Europe;44;2620;1100;53;239;18;310;7;514;44;28;0;72;83807;Yes;Yes;Yes;No
152;France;Europe;47;2476;694;135;95;35;265;14;1100;34;29;9;72;97624;Yes;Yes;No;No
